feature,lassignment.xml,lassignment1.xml,lexit.xml,lstart_cycle.xml,lstart_cycle1.xml,lstart_eq.xml,lstart_le.xml,lstart_le1.xml,lstart_lt.xml,lstart_lt1.xml,lstop_eq.xml,lstop_eq1.xml,lstop_ge.xml,lstop_ge1.xml,lstop_gt.xml,lstop_gt1.xml,lsub_function.xml,lsub_function1.xml,lsub_function2.xml,lsub_function3.xml,lsubstitution_coil.xml,lsubstitution_coil1.xml,lsubstitution_start.xml,lsubstitution_start1.xml,lsubstitution_stop.xml,lsubstitution_stop1.xml,lvalue_filtering.xml,lvalue_filtering1.xml,lvalves_handler.xml,lvalves_handler1.xml
has_feedback_loop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
has_ld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
has_loop_construct,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has_sfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has_st,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
has_threshold_logic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
input_var_names,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;STOP;TLB1;TLB2;VALUE;in1,IN1;IN1;IN_TLB1;IN_TLB2;STOP;STOP;TLB1;TLB2;VALUE;in1,IN1;IN1;IN_TLB1;IN_TLB2;START;TLB1;TLB2;VALUE;in1,IN1;IN1;IN_TLB1;IN_TLB2;START;TLB1;TLB2;VALUE;input1;input1,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;TLB1;TLB2;VALUE,IN1;IN_TLB1;IN_TLB2;START;STOP;STOP;TLB1;TLB2;VALUE
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local_var_names,i;real_value;stop_cycle0;valves_handler0,i;real_value;valves_handler0,i;i;real_value;start_valves0;stop_cycle0;valves_handler0,real_value;start_cycle0;stop_cycle0;valves_handler0,real_value;start_cycle0;valves_handler0,real_value;stop_cycle0;valves_handler0,real_value;stop_cycle0;valves_handler0,real_value;valves_handler0,real_value;valves_handler0,avg;i;level_filtering0;sum,real_value;stop_cycle0;valves_handler0,real_value;valves_handler0,real_value;stop_cycle0;valves_handler0,real_value;valves_handler0,real_value;stop_cycle0;valves_handler0,real_value;valves_handler0,FILTERED_VALUE;real_value;stop_cycle0;valves_handler0,FILTERED_VALUE;real_value;stop_cycle0;valves_handler0,FILTERED_VALUE;real_value;stop_cycle0;valves_handler0,FILTERED_VALUE;real_value;valves_handler0,cycle0;real_value;stop_cycle0;valves_handler0,cycle0;real_value;valves_handler0,real_value;start0;stop_cycle0;valves_handler0,real_value;start0;valves_handler0,real_value;stop0;stop_cycle0;valves_handler0,real_value;stop0;valves_handler0,real_value;stop_cycle0;value_filtering0;value_real;valves_handler0,real_value;value_filtering0;value_real;valves_handler0,real_value;stop_cycle0;valves_handler0,real_value;valves_handler0
logic_depth_approx,4,4,4,6,6,4,4,6,4,4,4,4,6,6,6,4,4,4,4,4,6,6,6,4,4,6,4,4,4,4
max_degree,7,8,7,7,8,7,7,8,8,7,7,8,7,8,7,8,7,7,7,8,7,8,7,8,7,8,7,8,7,8
n_assignments,7,9,13,8,8,7,7,7,7,9,7,7,7,7,7,7,6,6,6,6,8,8,9,9,9,9,9,9,7,7
n_blocks,2,1,4,3,2,3,3,2,2,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,2,1
n_bool_inputs,2,3,2,3,4,2,2,3,3,6,2,3,2,3,2,3,2,2,2,3,3,4,3,4,3,4,2,3,2,3
n_bool_outputs,7,5,9,8,6,7,7,5,5,5,7,5,7,5,7,5,7,7,7,5,8,6,8,6,8,6,7,5,7,5
n_coils,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
n_coils_negated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_comparisons,9,13,17,10,11,9,9,10,10,12,9,10,9,10,9,10,8,8,8,9,10,11,12,13,12,13,11,12,9,10
n_conditionals_total,2,4,4,2,3,2,2,3,3,3,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,4,2,3,2,3
n_connections,19,15,26,20,16,21,22,18,18,17,22,18,22,18,21,18,24,24,24,20,21,17,20,16,20,16,21,16,19,15
n_constants,1,5,5,1,1,1,1,1,1,7,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1
n_contacts,6,4,6,4,3,4,5,4,4,4,5,4,5,4,4,4,5,5,5,4,5,4,4,3,4,3,5,4,6,4
n_contacts_negated,3,1,3,2,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,0,2,1,3,1
n_derived_local_vars,2,1,3,3,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,3,2,3,2,3,2,3,2,2,1
n_end_if,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,4,2,3,2,3
n_end_while,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_false_literals,4,3,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,4,4,4,4
n_function_blocks,2,1,3,3,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,3,2,3,2,3,2,3,2,2,1
n_if,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,4,2,3,2,3
n_inVariables,3,4,5,4,5,5,5,6,6,5,5,6,5,6,5,6,5,5,5,6,3,4,4,5,4,5,3,4,3,4
n_inputs,8,9,8,9,10,9,9,10,10,9,9,10,9,10,9,10,8,8,8,9,9,10,9,10,9,10,9,10,8,9
n_int_inputs,6,6,6,6,6,7,7,7,7,3,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6
n_int_outputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
n_isolated_nodes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
n_left_power_rails,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n_local_ids,18,14,24,18,15,19,20,17,17,16,20,17,20,17,19,17,21,21,21,18,18,15,18,15,18,15,18,15,18,14
n_local_vars,4,3,6,4,3,3,3,2,2,4,3,2,3,2,3,2,4,4,4,3,4,3,4,3,4,3,5,4,3,2
n_outVariables,4,2,6,4,2,4,4,2,2,2,4,2,4,2,4,2,5,5,5,3,5,3,4,2,4,2,4,2,4,2
n_outputs,7,5,9,8,6,7,7,5,5,5,7,5,7,5,7,5,7,7,7,5,8,6,8,6,8,6,8,6,7,5
n_outputs_written,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3
n_physical_inputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_physical_outputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_pous,3,2,4,4,3,3,3,2,2,2,3,2,3,2,3,2,3,3,3,2,4,3,4,3,4,3,4,3,3,2
n_programs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n_right_power_rails,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n_tasks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n_then,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,4,2,3,2,3
n_true_literals,2,3,5,2,3,2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,4,5,3,4,2,3,2,3
n_unique_assigned_vars_st,3,4,4,4,4,3,3,3,3,5,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,5,5,3,3
n_unique_blocks,2,1,4,3,2,3,3,2,2,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,2,1
n_variables_total,19,17,23,21,19,19,19,17,17,18,19,17,19,17,19,17,19,19,19,17,21,19,21,19,21,19,22,20,18,16
n_while,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_var_names,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT;OUT_MV1;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV1;OUT_MV2;OUT_MV2,CYCLE_ON;MV1;MV2;OUT_MV1;OUT_MV2
outputs_multi_write,2,0,4,2,0,2,2,0,0,0,2,0,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0
pou_names,program0;stop_cycle;valves_handler,program0;valves_handler,program0;start_valves;stop_cycle;valves_handler,program0;start_cycle;stop_cycle;valves_handler,program0;start_cycle;valves_handler,program0;stop_cycle;valves_handler,program0;stop_cycle;valves_handler,program0;valves_handler,program0;valves_handler,level_filtering;program0,program0;stop_cycle;valves_handler,program0;valves_handler,program0;stop_cycle;valves_handler,program0;valves_handler,program0;stop_cycle;valves_handler,program0;valves_handler,program0;stop_cycle;valves_handler,program0;stop_cycle;valves_handler,program0;stop_cycle;valves_handler,program0;valves_handler,ac_cycle;program0;stop_cycle;valves_handler,ac_cycle;program0;valves_handler,program0;start;stop_cycle;valves_handler,program0;start;valves_handler,program0;stop;stop_cycle;valves_handler,program0;stop;valves_handler,program0;stop_cycle;value_filtering;valves_handler,program0;value_filtering;valves_handler,program0;stop_cycle;valves_handler,program0;valves_handler
seq_has_call,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seq_has_ld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seq_has_ldn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
seq_has_out,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
seq_n_lines,27,20,42,31,25,33,34,28,28,26,34,28,34,28,33,28,35,35,35,29,31,25,31,25,31,25,31,23,27,20
seq_n_unique_opcodes,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,8,8,8,8
seq_n_unique_operands,17,16,22,19,18,21,21,20,20,20,21,20,21,20,21,20,22,22,22,21,19,18,19,18,19,18,19,18,17,16
seq_opcode_vocab,ARG:5;CALL:2;IN:3;LD:3;LDN:3;OUT:1;OUTVAR:4;RET:6,ARG:5;CALL:1;IN:4;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:3,ARG:9;CALL:4;IN:5;LD:3;LDN:3;OUT:1;OUTVAR:6;RET:11,ARG:7;CALL:3;IN:4;LD:2;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:7;CALL:2;IN:5;LD:2;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:3;IN:5;LD:3;LDN:1;OUT:1;OUTVAR:4;RET:8,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:7;CALL:2;IN:5;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:3;IN:5;LD:3;LDN:1;OUT:1;OUTVAR:4;RET:8,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:5;RET:8,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:5;RET:8,ARG:8;CALL:3;IN:5;LD:3;LDN:2;OUT:1;OUTVAR:5;RET:8,ARG:8;CALL:2;IN:6;LD:3;LDN:1;OUT:1;OUTVAR:3;RET:5,ARG:7;CALL:3;IN:3;LD:3;LDN:2;OUTVAR:5;RET:8,ARG:7;CALL:2;IN:4;LD:3;LDN:1;OUTVAR:3;RET:5,ARG:7;CALL:3;IN:4;LD:2;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:7;CALL:2;IN:5;LD:2;LDN:1;OUT:1;OUTVAR:2;RET:5,ARG:7;CALL:3;IN:4;LD:3;LDN:1;OUT:1;OUTVAR:4;RET:8,ARG:7;CALL:2;IN:5;LD:3;OUT:1;OUTVAR:2;RET:5,ARG:7;CALL:3;IN:3;LD:3;LDN:2;OUT:1;OUTVAR:4;RET:8,ARG:6;CALL:2;IN:4;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:4,ARG:5;CALL:2;IN:3;LD:3;LDN:3;OUT:1;OUTVAR:4;RET:6,ARG:5;CALL:1;IN:4;LD:3;LDN:1;OUT:1;OUTVAR:2;RET:3
st_text_length,248,319,438,273,290,248,247,265,265,231,246,266,247,266,248,266,224,224,224,243,277,295,320,337,322,342,304,322,247,264
task_intervals,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms,T#20ms
task_priorities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
written_output_names,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;FILTERED_VALUE;MV1;MV2,CYCLE_ON;FILTERED_VALUE;MV1;MV2,CYCLE_ON;FILTERED_VALUE;MV1;MV2,CYCLE_ON;FILTERED_VALUE;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2,CYCLE_ON;MV1;MV2
